key : key_0; my_dico_1[key_0] : 2
key : key_1; my_dico_1[key_1] : 4
key : key_2; my_dico_1[key_2] : 8
key : key_3; my_dico_1[key_3] : 16
key : key_4; my_dico_1[key_4] : 32
key : key_5; my_dico_1[key_5] : 64
key : key_6; my_dico_1[key_6] : 128
key : key_7; my_dico_1[key_7] : 256
key : key_8; my_dico_1[key_8] : 512
key : key_9; my_dico_1[key_9] : 1024
key : key_10; my_dico_1[key_10] : 2048
key : key_11; my_dico_1[key_11] : 4096
key : key_12; my_dico_1[key_12] : 8192
key : key_13; my_dico_1[key_13] : 16384
key : key_14; my_dico_1[key_14] : 32768
key : key_15; my_dico_1[key_15] : 65536
key : key_16; my_dico_1[key_16] : 131072
key : key_17; my_dico_1[key_17] : 262144
key : key_18; my_dico_1[key_18] : 524288
key : key_19; my_dico_1[key_19] : 1048576
key : key_20; my_dico_1[key_20] : 2097152
key : key_21; my_dico_1[key_21] : 4194304
key : key_22; my_dico_1[key_22] : 8388608
key : key_23; my_dico_1[key_23] : 16777216
key : key_24; my_dico_1[key_24] : 33554432
key : key_25; my_dico_1[key_25] : 67108864
key : key_26; my_dico_1[key_26] : 134217728
key : key_27; my_dico_1[key_27] : 268435456
key : key_28; my_dico_1[key_28] : 536870912
key : key_29; my_dico_1[key_29] : 1073741824
key : key_30; my_dico_1[key_30] : 2147483648
key : key_31; my_dico_1[key_31] : 4294967296
key : key_32; my_dico_1[key_32] : 8589934592
key : key_33; my_dico_1[key_33] : 17179869184
key : key_34; my_dico_1[key_34] : 34359738368
key : key_35; my_dico_1[key_35] : 68719476736
key : key_36; my_dico_1[key_36] : 137438953472
key : key_37; my_dico_1[key_37] : 274877906944
key : key_38; my_dico_1[key_38] : 549755813888
key : key_39; my_dico_1[key_39] : 1099511627776
key : key_40; my_dico_1[key_40] : 2199023255552
key : key_41; my_dico_1[key_41] : 4398046511104
key : key_42; my_dico_1[key_42] : 8796093022208
key : key_43; my_dico_1[key_43] : 17592186044416
key : key_44; my_dico_1[key_44] : 35184372088832
key : key_45; my_dico_1[key_45] : 70368744177664
key : key_46; my_dico_1[key_46] : 140737488355328
key : key_47; my_dico_1[key_47] : 281474976710656
key : key_48; my_dico_1[key_48] : 562949953421312
key : key_49; my_dico_1[key_49] : 1125899906842624
